P29972,P29972,1
P29972,Q6UY14,1
P29972,Q99750,1
P29972,P15941-11,1
P29972,O75525,1
P29972,P24592,1
P29972,A8MQ03,1
P29972,O00501,1
P29972,O95279,1
P29972,O14880,1
P29972,O95377,1
P29972,O00258,1
P29972,O60883,1
P29972,O76081,1
P29972,P36406,1
P29972,Q07912,1
P29972,Q12933,1
P29972,Q13077,1
P29972,Q14525,1
P29972,Q15654,1
P29972,Q15323,1
P29972,Q6A162,1
P29972,Q5JR59,1
P29972,Q7L273,1
P29972,Q8IUQ4,1
P29972,Q7Z3S9,1
P29972,Q96JN2-2,1
P29972,Q9BYR5,1
P29972,Q9BYQ4,1
P29972,Q9UGC6,1
P29972,Q9UJV3-2,1
P29972,A1L4K1,1
P29972,EBI-10171679,1
P29972,O43597,1
P29972,O76081-6,1
P29972,Q2TAC2,1
P29972,Q8N8K9,1
P29972,Q9C0F1,1
P29972,Q9NQ79,1
P29972,Q9UFD9,1
P29972,Q9UKS7,1
P29972,Q9UKT9,1
P29972,Q6FG41,1
P29972,A2BDD9,1
P29972,EBI-22314709,1
P29972,O95751,1
P29972,P08151,1
P29972,P0DPK4,1
P29972,O60711,1
P29972,O95273,1
P29972,O76014,1
P29972,EBI-22381398,1
P29972,O15496,1
P29972,EBI-22617209,1
P29972,P17020,1
P29972,O15060,1
P29972,A9UHW6-2,1
P29972,P13349,1
P29972,O94972,1
P29972,O15393-2,1
P29972,O43610,1
P29972,O15304-2,1
P29972,Q92754,1
P29972,P12004,1
P29972,Q8N5Z5,1
P29972,Q96S65,1
P29972,P23634,1
P29972,P02730,1
P29972,P16452,1
P29972,O75955,1
P29972,Q14254,1
P29972,P11166,1
P29972,Q14773,1
P29972,Q99808,1
P29972,Q9NP59,1
P29972,P27105,1
P29972,Q08722,1
P29972,Q5ZSD5,1
P29972,O43889-2,1
P29972,Q8TBE3,1
P29972,Q9NRY7,1
P29972,Q8TED1,1
P29972,Q96Q45-2,1
P29972,Q5JX71,1
P29972,Q7Z7G2,1
P29972,Q96B21,1
P29972,Q3LI66,1
P29972,Q96HE8,1
P29972,Q3KQV3,1
P29972,Q9BYR7,1
P29972,Q13520,1
P29972,Q9NP94,1
P29972,Q9NVV0,1
P29972,Q6IN84,1
P29972,Q9NR31,1
P29972,P34910-2,1
P29972,Q8WWF3,1
P29972,Q9H9V4,1
P29972,P11912,1
P29972,Q9HBE5,1
P29972,Q9NQ30,1
P29972,Q5MJ70,1
P29972,Q8IY31-3,1
P29972,Q9H400,1
P29972,Q5W111-2,1
P29972,EBI-10204964,1
P29972,P15884,1
P29972,P60409,1
P29972,Q8IYA8,1
P29972,Q9C029,1
P29972,Q04864-2,1
P29972,Q13064,1
P29972,Q9NZV7,1
P29972,Q6PI77,1
P29972,Q8TD17,1
P29972,P49747,1
P29972,Q9H2G9,1
